institute,driving_model,experiment,ensemble,rcm_name,rcm_version,time_frequency,variable
DMI,MOHC-HadGEM2-ES,rcp26,r1i1p1,HIRHAM5,v2,day,tas
DMI,MOHC-HadGEM2-ES,rcp26,r1i1p1,HIRHAM5,v2,day,tasmax
KNMI,IPSL-IPSL-CM5A-MR,rcp85,r1i1p1,RACMO22E,v1,day,tas
KNMI,IPSL-IPSL-CM5A-MR,historical,r1i1p1,RACMO22E,v1,day,pr
KNMI,IPSL-IPSL-CM5A-MR,historical,r1i1p1,RACMO22E,v1,day,tasmax
KNMI,IPSL-IPSL-CM5A-MR,historical,r1i1p1,RACMO22E,v1,day,tasmin
KNMI,IPSL-IPSL-CM5A-MR,historical,r1i1p1,RACMO22E,v1,day,tas
KNMI,IPSL-IPSL-CM5A-MR,rcp85,r1i1p1,RACMO22E,v1,day,pr
KNMI,IPSL-IPSL-CM5A-MR,rcp85,r1i1p1,RACMO22E,v1,day,tasmax
KNMI,IPSL-IPSL-CM5A-MR,rcp85,r1i1p1,RACMO22E,v1,day,tasmin
CLMcom-ETH,MOHC-HadGEM2-ES,historical,r1i1p1,COSMO-crCLIM-v1-1,v1,day,tasmin
CLMcom-ETH,MOHC-HadGEM2-ES,historical,r1i1p1,COSMO-crCLIM-v1-1,v1,day,tas
CLMcom-ETH,MOHC-HadGEM2-ES,historical,r1i1p1,COSMO-crCLIM-v1-1,v1,day,tasmax
CLMcom-ETH,ICHEC-EC-EARTH,rcp85,r12i1p1,COSMO-crCLIM-v1-1,v1,day,tasmax
CLMcom-ETH,ICHEC-EC-EARTH,rcp85,r12i1p1,COSMO-crCLIM-v1-1,v1,day,tasmin
CLMcom-ETH,ICHEC-EC-EARTH,rcp85,r12i1p1,COSMO-crCLIM-v1-1,v1,day,tas
CLMcom-ETH,MOHC-HadGEM2-ES,historical,r1i1p1,COSMO-crCLIM-v1-1,v1,day,pr
CLMcom-ETH,ICHEC-EC-EARTH,rcp85,r12i1p1,COSMO-crCLIM-v1-1,v1,day,pr
KNMI,MPI-M-MPI-ESM-LR,rcp26,r1i1p1,RACMO22E,v1,day,pr
KNMI,MPI-M-MPI-ESM-LR,rcp26,r1i1p1,RACMO22E,v1,day,tas
KNMI,MPI-M-MPI-ESM-LR,rcp26,r1i1p1,RACMO22E,v1,day,tasmax
KNMI,MPI-M-MPI-ESM-LR,rcp26,r1i1p1,RACMO22E,v1,day,tasmin
GERICS,NCC-NorESM1-M,rcp45,r1i1p1,REMO2015,v1,day,pr
GERICS,CNRM-CERFACS-CNRM-CM5,historical,r1i1p1,REMO2015,v2,day,pr
GERICS,CNRM-CERFACS-CNRM-CM5,historical,r1i1p1,REMO2015,v2,day,tas
GERICS,CNRM-CERFACS-CNRM-CM5,historical,r1i1p1,REMO2015,v2,day,tasmax
GERICS,CNRM-CERFACS-CNRM-CM5,historical,r1i1p1,REMO2015,v2,day,tasmin
GERICS,NCC-NorESM1-M,rcp45,r1i1p1,REMO2015,v1,day,tas
GERICS,NCC-NorESM1-M,rcp45,r1i1p1,REMO2015,v1,day,tasmax
GERICS,NCC-NorESM1-M,rcp45,r1i1p1,REMO2015,v1,day,tasmin
GERICS,MOHC-HadGEM2-ES,rcp45,r1i1p1,REMO2015,v1,day,pr
GERICS,IPSL-IPSL-CM5A-MR,historical,r1i1p1,REMO2015,v1,day,pr
GERICS,IPSL-IPSL-CM5A-MR,historical,r1i1p1,REMO2015,v1,day,tas
GERICS,IPSL-IPSL-CM5A-MR,historical,r1i1p1,REMO2015,v1,day,tasmax
GERICS,IPSL-IPSL-CM5A-MR,historical,r1i1p1,REMO2015,v1,day,tasmin
GERICS,MOHC-HadGEM2-ES,rcp45,r1i1p1,REMO2015,v1,day,tasmax
GERICS,MOHC-HadGEM2-ES,rcp45,r1i1p1,REMO2015,v1,day,tasmin
GERICS,MOHC-HadGEM2-ES,rcp45,r1i1p1,REMO2015,v1,day,tas
KNMI,NCC-NorESM1-M,rcp26,r1i1p1,RACMO22E,v1,day,pr
KNMI,NCC-NorESM1-M,rcp26,r1i1p1,RACMO22E,v1,day,tasmin
KNMI,NCC-NorESM1-M,rcp26,r1i1p1,RACMO22E,v1,day,tas
KNMI,NCC-NorESM1-M,rcp26,r1i1p1,RACMO22E,v1,day,tasmax
CLMcom-ETH,ICHEC-EC-EARTH,historical,r3i1p1,COSMO-crCLIM-v1-1,v1,day,tasmax
CLMcom-ETH,ICHEC-EC-EARTH,historical,r3i1p1,COSMO-crCLIM-v1-1,v1,day,tasmin
CLMcom-ETH,ICHEC-EC-EARTH,historical,r3i1p1,COSMO-crCLIM-v1-1,v1,day,tas
CLMcom-ETH,ICHEC-EC-EARTH,historical,r3i1p1,COSMO-crCLIM-v1-1,v1,day,pr
DMI,IPSL-IPSL-CM5A-MR,historical,r1i1p1,HIRHAM5,v1,day,pr
DMI,IPSL-IPSL-CM5A-MR,historical,r1i1p1,HIRHAM5,v1,day,tas
DMI,IPSL-IPSL-CM5A-MR,historical,r1i1p1,HIRHAM5,v1,day,tasmax
DMI,IPSL-IPSL-CM5A-MR,historical,r1i1p1,HIRHAM5,v1,day,tasmin
DMI,IPSL-IPSL-CM5A-MR,rcp85,r1i1p1,HIRHAM5,v1,day,pr
DMI,IPSL-IPSL-CM5A-MR,rcp85,r1i1p1,HIRHAM5,v1,day,tas
DMI,IPSL-IPSL-CM5A-MR,rcp85,r1i1p1,HIRHAM5,v1,day,tasmax
DMI,IPSL-IPSL-CM5A-MR,rcp85,r1i1p1,HIRHAM5,v1,day,tasmin
CLMcom-ETH,CNRM-CERFACS-CNRM-CM5,historical,r1i1p1,COSMO-crCLIM-v1-1,v1,day,tas
CLMcom-ETH,CNRM-CERFACS-CNRM-CM5,historical,r1i1p1,COSMO-crCLIM-v1-1,v1,day,tasmax
CLMcom-ETH,CNRM-CERFACS-CNRM-CM5,historical,r1i1p1,COSMO-crCLIM-v1-1,v1,day,tasmin
