institute,gcm,experiment,ensemble,rcm_name,downscale_realisation,variable,institute_rcm
KNMI,CNRM-CERFACS-CNRM-CM5,historical,r1i1p1,RACMO22E,v2,ts,KNMI-RACMO22E
KNMI,MPI-M-MPI-ESM-LR,historical,r1i1p1,RACMO22E,v1,rlds,KNMI-RACMO22E
KNMI,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,RACMO22E,v1,hfss,KNMI-RACMO22E
KNMI,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,RACMO22E,v1,hfls,KNMI-RACMO22E
KNMI,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,RACMO22E,v1,huss,KNMI-RACMO22E
KNMI,MPI-M-MPI-ESM-LR,historical,r1i1p1,RACMO22E,v1,ts,KNMI-RACMO22E
KNMI,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,RACMO22E,v1,snw,KNMI-RACMO22E
KNMI,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,RACMO22E,v1,snc,KNMI-RACMO22E
KNMI,MPI-M-MPI-ESM-LR,historical,r1i1p1,RACMO22E,v1,hfss,KNMI-RACMO22E
KNMI,MPI-M-MPI-ESM-LR,historical,r1i1p1,RACMO22E,v1,hfls,KNMI-RACMO22E
KNMI,MPI-M-MPI-ESM-LR,historical,r1i1p1,RACMO22E,v1,huss,KNMI-RACMO22E
KNMI,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,RACMO22E,v1,clh,KNMI-RACMO22E
KNMI,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,RACMO22E,v1,cll,KNMI-RACMO22E
KNMI,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,RACMO22E,v1,clm,KNMI-RACMO22E
KNMI,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,RACMO22E,v1,clt,KNMI-RACMO22E
KNMI,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,RACMO22E,v1,ts,KNMI-RACMO22E
KNMI,MPI-M-MPI-ESM-LR,historical,r1i1p1,RACMO22E,v1,snw,KNMI-RACMO22E
KNMI,MPI-M-MPI-ESM-LR,historical,r1i1p1,RACMO22E,v1,snc,KNMI-RACMO22E
KNMI,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,RACMO22E,v1,rsds,KNMI-RACMO22E
KNMI,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,RACMO22E,v1,rsus,KNMI-RACMO22E
KNMI,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,RACMO22E,v1,rlus,KNMI-RACMO22E
KNMI,MPI-M-MPI-ESM-LR,historical,r1i1p1,RACMO22E,v1,clh,KNMI-RACMO22E
KNMI,MPI-M-MPI-ESM-LR,historical,r1i1p1,RACMO22E,v1,cll,KNMI-RACMO22E
KNMI,MPI-M-MPI-ESM-LR,historical,r1i1p1,RACMO22E,v1,clm,KNMI-RACMO22E
KNMI,MPI-M-MPI-ESM-LR,historical,r1i1p1,RACMO22E,v1,clt,KNMI-RACMO22E
KNMI,MPI-M-MPI-ESM-LR,historical,r1i1p1,RACMO22E,v1,rsds,KNMI-RACMO22E
KNMI,MPI-M-MPI-ESM-LR,historical,r1i1p1,RACMO22E,v1,rsus,KNMI-RACMO22E
KNMI,MPI-M-MPI-ESM-LR,historical,r1i1p1,RACMO22E,v1,rlus,KNMI-RACMO22E
KNMI,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,RACMO22E,v1,rlds,KNMI-RACMO22E
DMI,ICHEC-EC-EARTH,historical,r3i1p1,HIRHAM5,v2,clh,DMI-HIRHAM5
DMI,ICHEC-EC-EARTH,rcp85,r3i1p1,HIRHAM5,v2,rlds,DMI-HIRHAM5
DMI,ICHEC-EC-EARTH,historical,r3i1p1,HIRHAM5,v2,snc,DMI-HIRHAM5
DMI,NCC-NorESM1-M,historical,r1i1p1,HIRHAM5,v3,ts,DMI-HIRHAM5
DMI,NCC-NorESM1-M,rcp85,r1i1p1,HIRHAM5,v3,rsds,DMI-HIRHAM5
DMI,ICHEC-EC-EARTH,rcp85,r3i1p1,HIRHAM5,v2,hfls,DMI-HIRHAM5
DMI,MOHC-HadGEM2-ES,historical,r1i1p1,HIRHAM5,v2,rsds,DMI-HIRHAM5
DMI,MOHC-HadGEM2-ES,historical,r1i1p1,HIRHAM5,v2,clt,DMI-HIRHAM5
DMI,NCC-NorESM1-M,historical,r1i1p1,HIRHAM5,v3,hfss,DMI-HIRHAM5
DMI,ICHEC-EC-EARTH,rcp85,r3i1p1,HIRHAM5,v2,rsds,DMI-HIRHAM5
DMI,MOHC-HadGEM2-ES,rcp85,r1i1p1,HIRHAM5,v2,rlus,DMI-HIRHAM5
DMI,MOHC-HadGEM2-ES,rcp85,r1i1p1,HIRHAM5,v2,huss,DMI-HIRHAM5
DMI,MOHC-HadGEM2-ES,rcp85,r1i1p1,HIRHAM5,v2,rsds,DMI-HIRHAM5
DMI,MOHC-HadGEM2-ES,historical,r1i1p1,HIRHAM5,v2,clh,DMI-HIRHAM5
